nome_emissora,nome_programa,nome_pesquisa,periodo_inicio_pesquisa,periodo_final_pesquisa,url_pesquisa,fonte_pesquisa,nome_regiao,audiencia,pontos_ibope,audiencia_individual,percentual_do_publico
BAND,JORNAL DA BAND,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-24,PNT / Instar / Kantar,total,2.6,2.6,694.9,6.9
BAND,BRASIL URGENTE 1,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-25,PNT / Instar / Kantar,total,2.1,2.1,559,7.6
BAND,PERRENGUE NA BAND,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-26,PNT / Instar / Kantar,total,1.8,1.8,509.7,2.3
BAND,APITO FINAL,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-27,PNT / Instar / Kantar,total,1.5,1.5,435.1,2.5
BAND,MELHOR DA NOITE,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-28,PNT / Instar / Kantar,total,1.5,1.5,420.3,6.9
BAND,MMA NOT,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-29,PNT / Instar / Kantar,total,1.3,1.3,353.2,1.7
BAND,PERRENGUE DO DIA,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-30,PNT / Instar / Kantar,total,1.3,1.3,352.5,3.4
BAND,PROGRAMA DO JOAO,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-31,PNT / Instar / Kantar,total,1.2,1.2,344.6,2.2
BAND,JOGO ABERTO MAT,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-32,PNT / Instar / Kantar,total,1.2,1.2,330.3,3.3
BAND,THE BLACKLIST,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-33,PNT / Instar / Kantar,total,1.1,1.1,321.9,1.4
GLOBO,NOVELA III SS – RENASCER,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-34,PNT / Instar / Kantar,total,25.7,25.7,7353.7,30.9
GLOBO,JORNAL NACIONAL SS,Audiência de TV PNT TOP 10,06/05/2024,12/05/2024,https://kantaribopemedia.com/conteudo/dados-rankings/audiencia-de-tv-pnt-top-06-a-12-05-35,PNT / Instar / Kantar,total,24.5,24.5,7057.1,31.6
